unit,time_index,action,metric,value,time
0,0,0,0,62319.650534398716,2020-01-01
0,0,1,0,97718.79347266795,2020-01-01
0,0,2,0,41951.83432699959,2020-01-01
0,1,0,0,61118.764039840775,2020-01-02
0,1,1,0,84280.35177751866,2020-01-02
0,1,2,0,56610.956001794286,2020-01-02
0,2,0,0,52576.95997985705,2020-01-03
0,2,1,0,69439.36665172926,2020-01-03
0,2,2,0,45369.9078962924,2020-01-03
0,3,0,0,34248.010877392124,2020-01-04
0,3,1,0,48579.15217466284,2020-01-04
0,3,2,0,51653.81255604788,2020-01-04
0,4,0,0,24711.59562250783,2020-01-05
0,4,1,0,22756.829263135412,2020-01-05
0,4,2,0,36468.86310170289,2020-01-05
0,5,0,0,26824.245913075472,2020-01-06
0,5,1,0,41201.86324232403,2020-01-06
0,5,2,0,34362.66783088596,2020-01-06
0,6,0,0,40750.304085345146,2020-01-07
0,6,1,0,61541.421277994305,2020-01-07
0,6,2,0,38277.7460331005,2020-01-07
0,7,0,0,56676.90604562317,2020-01-08
0,7,1,0,94405.95722340171,2020-01-08
0,7,2,0,51220.806527569315,2020-01-08
0,8,0,0,67533.16317889311,2020-01-09
0,8,1,0,93949.41460232288,2020-01-09
0,8,2,0,57512.309879140004,2020-01-09
0,9,0,0,63429.804114803854,2020-01-10
0,9,1,0,86288.45451216857,2020-01-10
0,9,2,0,47783.133980043734,2020-01-10
0,10,0,0,51260.35620642127,2020-01-11
0,10,1,0,77565.28060319653,2020-01-11
0,10,2,0,50274.478113483005,2020-01-11
0,11,0,0,35357.764455607394,2020-01-12
0,11,1,0,39092.58941596291,2020-01-12
0,11,2,0,54453.43408778447,2020-01-12
0,12,0,0,27428.726593358842,2020-01-13
0,12,1,0,33675.94798633781,2020-01-13
0,12,2,0,23973.58666675697,2020-01-13
0,13,0,0,28282.820310129973,2020-01-14
0,13,1,0,49228.3444471183,2020-01-14
0,13,2,0,32687.37693853263,2020-01-14
0,14,0,0,43562.71248755411,2020-01-15
0,14,1,0,71827.2598212851,2020-01-15
0,14,2,0,51995.511813777266,2020-01-15
0,15,0,0,52388.36406673073,2020-01-16
0,15,1,0,91433.83944105449,2020-01-16
0,15,2,0,72978.88374770919,2020-01-16
0,16,0,0,65927.7325648913,2020-01-17
0,16,1,0,107951.74037345107,2020-01-17
0,16,2,0,68395.10883040074,2020-01-17
0,17,0,0,61271.52629734245,2020-01-18
0,17,1,0,87665.77243104338,2020-01-18
0,17,2,0,63613.86260289366,2020-01-18
0,18,0,0,53105.618750458336,2020-01-19
0,18,1,0,84960.55440555181,2020-01-19
0,18,2,0,49614.58634785461,2020-01-19
0,19,0,0,36189.249982419606,2020-01-20
0,19,1,0,36053.772041456585,2020-01-20
0,19,2,0,40737.99491128622,2020-01-20
0,20,0,0,26421.93341494528,2020-01-21
0,20,1,0,27823.593696380492,2020-01-21
0,20,2,0,44323.07615703592,2020-01-21
0,21,0,0,28363.544218524734,2020-01-22
0,21,1,0,52116.80157202461,2020-01-22
0,21,2,0,37404.26043415804,2020-01-22
0,22,0,0,33823.861136928266,2020-01-23
0,22,1,0,58660.55108911332,2020-01-23
0,22,2,0,34394.36023010634,2020-01-23
0,23,0,0,51762.35296763805,2020-01-24
0,23,1,0,78157.18630110352,2020-01-24
0,23,2,0,48223.4256179653,2020-01-24
0,24,0,0,60239.99245463605,2020-01-25
0,24,1,0,80618.69864625052,2020-01-25
0,24,2,0,38774.77783785193,2020-01-25
0,25,0,0,66196.38394799508,2020-01-26
0,25,1,0,106031.92024080137,2020-01-26
0,25,2,0,58169.27436972847,2020-01-26
0,26,0,0,54481.54178920076,2020-01-27
0,26,1,0,75179.98543855673,2020-01-27
0,26,2,0,49188.87321811545,2020-01-27
0,27,0,0,36956.5168943277,2020-01-28
0,27,1,0,70241.21066427509,2020-01-28
0,27,2,0,33656.24575637802,2020-01-28
0,28,0,0,22109.667372304557,2020-01-29
0,28,1,0,22569.36270055391,2020-01-29
0,28,2,0,51339.96511229777,2020-01-29
0,29,0,0,24555.45351280873,2020-01-30
0,29,1,0,55948.50450987967,2020-01-30
0,29,2,0,28707.477689521904,2020-01-30
0,30,0,0,31317.957462563456,2020-01-31
0,30,1,0,58396.34668126391,2020-01-31
0,30,2,0,31533.56270901136,2020-01-31
0,31,0,0,41395.37968284313,2020-02-01
0,31,1,0,74068.70923908374,2020-02-01
0,31,2,0,34329.4148391894,2020-02-01
0,32,0,0,54534.77543185992,2020-02-02
0,32,1,0,74113.08676904353,2020-02-02
0,32,2,0,55678.099732754374,2020-02-02
0,33,0,0,59740.54896650243,2020-02-03
0,33,1,0,86236.482480807,2020-02-03
0,33,2,0,52434.881328417105,2020-02-03
0,34,0,0,55055.678182026546,2020-02-04
0,34,1,0,100678.61390222967,2020-02-04
0,34,2,0,46272.63843269706,2020-02-04
0,35,0,0,37164.318593346994,2020-02-05
0,35,1,0,51293.079300028534,2020-02-05
0,35,2,0,31249.62566849083,2020-02-05
0,36,0,0,27053.347843662745,2020-02-06
0,36,1,0,53540.014754443924,2020-02-06
0,36,2,0,47201.30945959327,2020-02-06
0,37,0,0,20600.164222816155,2020-02-07
0,37,1,0,36764.02740168259,2020-02-07
0,37,2,0,19116.859613859087,2020-02-07
0,38,0,0,29320.36587463142,2020-02-08
0,38,1,0,46326.81367109524,2020-02-08
0,38,2,0,41273.884783773065,2020-02-08
0,39,0,0,42103.41068016075,2020-02-09
0,39,1,0,73819.66294953754,2020-02-09
0,39,2,0,29253.18873272409,2020-02-09
0,40,0,0,56222.090605106525,2020-02-10
0,40,1,0,101574.73598823117,2020-02-10
0,40,2,0,40229.42521739101,2020-02-10
0,41,0,0,62638.60353132995,2020-02-11
0,41,1,0,90294.85540359403,2020-02-11
0,41,2,0,57663.68755738701,2020-02-11
0,42,0,0,54397.40685502571,2020-02-12
0,42,1,0,81644.43830277666,2020-02-12
0,42,2,0,61463.121208753844,2020-02-12
0,43,0,0,43311.92960786899,2020-02-13
0,43,1,0,72184.090716408,2020-02-13
0,43,2,0,51103.44371834612,2020-02-13
0,44,0,0,30914.97534042644,2020-02-14
0,44,1,0,42522.98728591983,2020-02-14
0,44,2,0,35046.177350730744,2020-02-14
0,45,0,0,25849.37301390139,2020-02-15
0,45,1,0,47763.72242994786,2020-02-15
0,45,2,0,36009.10060714598,2020-02-15
0,46,0,0,29038.988438664408,2020-02-16
0,46,1,0,48103.23701132753,2020-02-16
0,46,2,0,56892.415483032426,2020-02-16
0,47,0,0,45055.73933950555,2020-02-17
0,47,1,0,74480.65792804447,2020-02-17
0,47,2,0,52058.304951663245,2020-02-17
0,48,0,0,59185.875432165594,2020-02-18
0,48,1,0,75117.68557968305,2020-02-18
0,48,2,0,41103.821335169974,2020-02-18
0,49,0,0,70520.2975728936,2020-02-19
0,49,1,0,105352.521489982,2020-02-19
0,49,2,0,49913.93529298038,2020-02-19
1,0,0,0,57880.69220846447,2020-01-01
1,0,1,0,85501.40666918746,2020-01-01
1,0,2,0,59225.66070912423,2020-01-01
1,1,0,0,56812.58824046879,2020-01-02
1,1,1,0,84617.71461094441,2020-01-02
1,1,2,0,49911.884770869634,2020-01-02
1,2,0,0,49661.63124141691,2020-01-03
1,2,1,0,67046.19169811746,2020-01-03
1,2,2,0,44437.40068444955,2020-01-03
1,3,0,0,34495.858678729244,2020-01-04
1,3,1,0,50150.64090865379,2020-01-04
1,3,2,0,53852.540497312395,2020-01-04
1,4,0,0,26689.153875624055,2020-01-05
1,4,1,0,36771.38041183799,2020-01-05
1,4,2,0,22949.957337516847,2020-01-05
1,5,0,0,28445.38971300596,2020-01-06
1,5,1,0,48058.59135642067,2020-01-06
1,5,2,0,16238.45014373371,2020-01-06
1,6,0,0,39888.13814480597,2020-01-07
1,6,1,0,62202.250252920996,2020-01-07
1,6,2,0,37859.502075578624,2020-01-07
1,7,0,0,53088.41381747448,2020-01-08
1,7,1,0,67938.93730088818,2020-01-08
1,7,2,0,50900.71439496467,2020-01-08
1,8,0,0,62007.82252190903,2020-01-09
1,8,1,0,106343.28162029169,2020-01-09
1,8,2,0,45404.84350177822,2020-01-09
1,9,0,0,58726.452163716225,2020-01-10
1,9,1,0,81650.40027793359,2020-01-10
1,9,2,0,59692.72579161751,2020-01-10
1,10,0,0,48583.12919162107,2020-01-11
1,10,1,0,78287.65859610845,2020-01-11
1,10,2,0,39814.5253507798,2020-01-11
1,11,0,0,35511.87071068482,2020-01-12
1,11,1,0,48647.2377830465,2020-01-12
1,11,2,0,48973.170219057116,2020-01-12
1,12,0,0,28845.590529282745,2020-01-13
1,12,1,0,17056.772203985074,2020-01-13
1,12,2,0,35832.70311218758,2020-01-13
1,13,0,0,29682.024442242742,2020-01-14
1,13,1,0,44143.624029701925,2020-01-14
1,13,2,0,51295.540617153965,2020-01-14
1,14,0,0,42197.10410657111,2020-01-15
1,14,1,0,59167.27740020328,2020-01-15
1,14,2,0,36244.91716756509,2020-01-15
1,15,0,0,49603.98428782131,2020-01-16
1,15,1,0,78207.11168963717,2020-01-16
1,15,2,0,56928.71207145751,2020-01-16
1,16,0,0,60728.475030340844,2020-01-17
1,16,1,0,80324.07577096477,2020-01-17
1,16,2,0,53604.68964459926,2020-01-17
1,17,0,0,56993.81687918468,2020-01-18
1,17,1,0,81158.02045806976,2020-01-18
1,17,2,0,50669.20983836738,2020-01-18
1,18,0,0,50246.53912685968,2020-01-19
1,18,1,0,57999.420566985194,2020-01-19
1,18,2,0,56387.29608332658,2020-01-19
1,19,0,0,36305.27762359947,2020-01-20
1,19,1,0,55294.434294568164,2020-01-20
1,19,2,0,39151.2544238057,2020-01-20
1,20,0,0,28196.4548681791,2020-01-21
1,20,1,0,40707.658093263904,2020-01-21
1,20,2,0,32248.5282460025,2020-01-21
1,21,0,0,29788.736444189788,2020-01-22
1,21,1,0,33168.862697025244,2020-01-22
1,21,2,0,38028.31037028365,2020-01-22
1,22,0,0,34378.76408864603,2020-01-23
1,22,1,0,60910.123781818664,2020-01-23
1,22,2,0,46443.098172261605,2020-01-23
1,23,0,0,49186.94003062663,2020-01-24
1,23,1,0,60979.816325601794,2020-01-24
1,23,2,0,43250.143688064345,2020-01-24
1,24,0,0,56286.26957023162,2020-01-25
1,24,1,0,80641.14330746274,2020-01-25
